employee_id,first_name,last_name,gender,date_of_birth,national_id_type,national_id,email,phone,hire_date,termination_date,employment_status,contract_type,fte,job_title,job_level,department,manager_id,salary,currency,salary_period,bonus,salary_grade,city,country,work_mode,office_id,performance_rating,vacation_days_total,vacation_days_used,education_level,skills,languages,last_promotion_date,projects_count,emergency_contact,is_remote_eligible,tenure_years,age,annual_salary,annual_salary_usd
1,Stefano,Ferrari,M,2002-05-10,Codice Fiscale,FRRSTF02E10951Y,stefano.ferrari@globalcorp.com,+39 343 5432498,2022-08-16,2023-04-15,Terminated,Permanent,1.0,QA Specialist,mid,IT,299.0,3578.89,EUR,Monthly,7666.78,P2,Bologna,Italy,Hybrid,15,5,20,4,MBA,"Figma, Kubernetes","Italian, Dutch",2024-02-03,3,Stefano +39 334 3202935,False,0.66,23,50613.46,54662.54
2,Jamie,Lee,M,1990-03-28,NINO,WG 65 66 65 C,jamie.lee@globalcorp.com,+44 7701 137827,2011-08-28,,Active,B2B,1.0,Finance Manager,manager,Finance,,11165.14,GBP,Monthly,0.0,P5,Manchester,UK,On-site,62,3,26,20,Bachelor,"Salesforce, Docker, PMP, Photoshop","English, German",,3,Harper +44 7450 389565,True,,35,133981.68,170156.73
3,Nicholas,Garcia,M,1988-03-22,SSN,474-02-0353,nicholas.garcia@globalcorp.com,+1 (510) 408-5308,2009-04-08,,Active,B2B,0.5,Mid Developer,mid,IT,32.0,10619.94,USD,Monthly,0.0,P2,New York,USA,On-site,72,2,26,16,Bachelor,"Java, Azure, Salesforce, Tableau, Negotiation","English, Dutch",,5,Nicholas +1 (248) 760-7865,True,,37,127439.28,127439.28
4,Jaime,López,M,1976-10-12,DNI,99517133C,jaime.lopez@globalcorp.com,+34 610 767487,2010-11-13,,Active,Fixed-term,0.75,Sales Manager,manager,Sales,,8373.67,EUR,Monthly,11705.19,P5,Barcelona,Spain,Hybrid,9,3,26,0,Bachelor,"ITIL, SAP, Accounting, PMP","Spanish, English",2019-11-20,2,Alejandra +34 601 808343,False,,48,112189.23,121164.37
5,Przemyslaw,Kaczmarek,M,1971-10-05,PESEL,71100511187,przemyslaw.kaczmarek@globalcorp.com,+48 729 963 176,2018-02-09,,Active,Internship,1.0,QA Specialist,mid,IT,163.0,8687.43,PLN,Monthly,0.0,P2,Lodz,Poland,Hybrid,55,5,20,9,PhD,"Figma, SAP, Negotiation","Polish, English",2021-01-22,8,Stanislaw +48 604 951 872,True,,53,104249.16,26062.29
6,Karan,Shah,M,1986-03-10,Aadhaar,5350 4538 2158,karan.shah@globalcorp.com,+91 69853 55850,2007-01-29,,Active,B2B,1.0,Sales Representative,mid,Sales,223.0,87685.49,INR,Monthly,0.0,P2,Mumbai,India,Hybrid,67,3,26,7,Master,"Accounting, Lean Six Sigma, SQL, PRINCE2","Hindi, English, Russian",,2,Sameer +91 79145 33123,True,,39,1052225.88,12626.71
7,Bianca,Galli,F,1984-09-17,Codice Fiscale,GLLBNC84P57437Q,bianca.galli@globalcorp.com,+39 368 7994373,2014-05-12,,Active,Fixed-term,1.0,Account Manager,manager,Sales,,54.59,EUR,Hourly,5081.18,P5,Florence,Italy,Hybrid,37,3,26,2,Master,"PRINCE2, Project Management","Italian, English, French",2018-08-30,3,Margherita +39 342 2450481,False,,40,115134.62,124345.39
8,Olivier,Meijer,M,1974-02-02,BSN,488.566.514,olivier.meijer@globalcorp.com,+31 6 22049436,2014-02-10,,Active,Permanent,0.5,HR Manager,manager,HR,,14895.74,EUR,Monthly,21483.08,P5,Tilburg,Netherlands,Hybrid,94,3,26,16,MBA,"AWS, Jira, Java","Dutch, English",2025-03-16,3,Lily +31 6 29279235,True,,51,200231.96,216250.52
9,Igor,Tomczak,M,1973-03-25,PESEL,73032531741,igor.tomczak@globalcorp.com,+48 518 855 502,2015-05-29,,On Leave,Permanent,1.0,Data Scientist,lead,IT,72.0,205233.88,PLN,Annual,0.0,P4,Gdansk,Poland,On-site,39,3,26,25,High School,"Photoshop, PMP, ITIL","Polish, English, Italian",2017-01-16,4,Daniel +48 512 928 188,False,,52,205233.88,51308.47
10,Nora,Lee,F,1973-02-23,NINO,PE 28 31 77 D,nora.lee@globalcorp.com,+44 7801 964556,1994-10-03,,Active,Permanent,1.0,Shift Leader,lead,Operations,308.0,10849.62,GBP,Monthly,5461.54,P4,London,UK,Hybrid,56,2,26,1,PhD,"React, Figma","English, Italian, Mandarin",2004-11-24,5,Adam +44 7805 385535,True,,52,135656.98,172284.36
11,Eva,Zimmermann,F,1973-06-25,Steuer-ID,79 528 228 837,eva.zimmermann@globalcorp.com,+49 157 2853456,2016-06-09,,On Leave,B2B,0.5,Brand Manager,manager,Marketing,,15854.18,EUR,Monthly,0.0,P5,Düsseldorf,Germany,On-site,33,3,20,6,High School,"Python, SAP","German, English, Mandarin",2020-04-18,4,Ulrich +49 241 3671907,True,,52,190250.16,205470.17
12,Logan,Robinson,M,1978-05-12,SSN,830-80-0050,logan.robinson@globalcorp.com,+1 (865) 631-1245,1997-02-22,,Active,B2B,1.0,Dispatcher,junior,Logistics,394.0,6137.53,USD,Monthly,0.0,P1,Los Angeles,USA,Hybrid,57,4,26,18,Bachelor,"PMP, Lean Six Sigma, Excel, Photoshop",English,,4,Tyler +1 (407) 379-3021,False,,47,73650.36,73650.36
13,Alejandra,Moreno,F,1988-03-15,DNI,61809142T,alejandra.moreno@globalcorp.com,+34 670 224533,2010-10-09,2013-01-18,Terminated,Permanent,1.0,HR Manager,manager,HR,,9526.85,EUR,Monthly,6726.27,P5,Alicante,Spain,Hybrid,2,4,26,8,High School,"AutoCAD, Salesforce, Oracle","Spanish, English",2015-04-06,5,Diego +34 636 593658,False,2.28,37,121048.47,130732.35
14,Lara,Wolters,F,1989-09-08,BSN,717.490.920,lara.wolters@globalcorp.com,+31 6 48180419,2013-05-15,,Active,Fixed-term,1.0,Accountant,senior,Finance,436.0,6802.76,EUR,Monthly,0.0,P3,Groningen,Netherlands,Hybrid,43,2,26,3,MBA,"Figma, Lean Six Sigma, Oracle, Azure","Dutch, English, Spanish",2022-08-04,2,Bram +31 6 37649958,False,,35,81633.12,88163.77
15,Jessica,Anderson,F,1984-03-10,NINO,SN 81 05 84 D,jessica.anderson@globalcorp.com,+44 7916 518383,2022-01-25,2023-10-16,Terminated,Permanent,1.0,Copywriter,mid,Marketing,289.0,4986.01,GBP,Monthly,2895.45,P2,London,UK,On-site,56,3,20,4,PhD,"Photoshop, Kubernetes",English,2025-04-03,2,Adam +44 7454 964894,True,1.72,41,62727.57,79664.01
16,Lena,Zielinski,F,1986-05-05,PESEL,86050591484,lena.zielinski@globalcorp.com,+48 604 892 602,2008-05-26,,Active,Permanent,1.0,HR Specialist,mid,HR,439.0,120063.24,PLN,Annual,12669.46,P2,Katowice,Poland,Hybrid,48,1,26,0,Master,"Accounting, Figma","Polish, English, Spanish, Dutch",2024-08-07,1,Robert +48 512 573 469,True,,39,132732.7,33183.18
17,Amélie,Morel,F,1990-09-10,INSEE,2 90 09 10 49 727 6,amelie.morel@globalcorp.com,+33 7 16 52 71 79,2021-11-02,,Active,Contractor,0.5,Legal Assistant,junior,Legal,492.0,15.53,EUR,Hourly,5407.5,P1,Toulouse,France,Remote,96,3,20,20,Bachelor,"PRINCE2, Project Management, Jira, PMP","French, English, Mandarin, Dutch",2024-12-06,4,Florian +33 6 88 60 84 48,True,,34,36715.98,39653.26
18,Wiktor,Kruk,M,1965-11-08,PESEL,65110857360,wiktor.kruk@globalcorp.com,+48 691 194 597,2025-01-08,,Active,Permanent,1.0,HR Manager,manager,HR,,22341.65,PLN,Monthly,13305.26,P5,Wroclaw,Poland,On-site,103,4,20,10,Bachelor,"AWS, Scrum","Polish, English",,5,Sebastian +48 602 313 933,True,,59,281405.06,70351.26
19,Julia,Jansen,F,1987-01-29,BSN,608.999.970,julia.jansen@globalcorp.com,+31 6 35969677,2024-09-04,,Active,Permanent,1.0,Controller,senior,Finance,34.0,5459.54,EUR,Monthly,13714.3,P3,The Hague,Netherlands,Hybrid,93,3,20,19,Master,"PMP, Jira, Azure, Python","Dutch, English",,3,Bente +31 6 36338471,False,,38,79228.78,85567.08
20,Víctor,Díaz,M,1998-08-20,DNI,42288571N,victor.diaz@globalcorp.com,+34 617 663477,2019-04-27,,On Leave,Permanent,0.75,Key Account Manager,manager,Sales,,9415.48,EUR,Monthly,13616.69,P5,Seville,Spain,On-site,89,4,20,14,Bachelor,"Salesforce, AutoCAD","Spanish, English, Dutch",,4,Iker +34 629 956378,False,,26,126602.45,136730.65
21,Filippo,Ferrara,M,1965-08-31,Codice Fiscale,FRRFLP65M31299L,filippo.ferrara@globalcorp.com,+39 337 6020794,1987-08-29,,Probation,Permanent,0.75,Recruiter,mid,HR,366.0,4303.98,EUR,Monthly,4809.0,P2,Florence,Italy,On-site,37,3,26,9,High School,"Kotlin, React, Figma, Financial Analysis, Python","Italian, English",1989-12-02,9,Federico +39 390 3457939,True,,59,56456.76,60973.3
22,Nina,Hofmann,F,1957-06-27,Steuer-ID,84 542 876 369,nina.hofmann@globalcorp.com,+49 351 6812862,1986-08-04,2007-01-19,Terminated,B2B,1.0,Sales Representative,mid,Sales,429.0,5123.09,EUR,Monthly,0.0,P2,Dortmund,Germany,Hybrid,31,4,26,25,Master,"Salesforce, PMP, Azure","German, English, French",1995-04-30,6,Markus +49 151 6973109,False,20.46,68,61477.08,66395.25
